QID,ProductID,Component,Role,RoleName,Level,OnboardingPhase,QuestionType,Question,WhyItMatters,AnswerSource,AnswerStatus,BlocksWork,ParentQID,FollowUps,SampleAnswerShape,AskedTo,AnsweredBy,AnswerDate,DocLink,Confidence
QAI0207,XCUT,Local model serving and GPU capacity,BE,Back-End Developer,L3 Senior,Quarter 1,Interface/Contract,What should a calling module do when the inference service returns a deferred rather than a result?,"Modules that treat deferral as an error will retry, amplifying the saturation the deferral was meant to relieve.","Master Checklist v3 (AIA-01.1.04, AIA-03.1.05)",Partially documented,AIA-01.1.04 degraded-mode policy,-,Is there a retry policy in the contract? / Who owns the completion promise?,"Names the deferred state, the prohibition on naive retry, and the completion path",,,,,
QAI0200,XCUT,Local model serving and GPU capacity,DE,Data Engineer,L2 Mid,Month 1,Data,Which inference metrics have to carry a tenant label and which must not?,Tenant-labelled telemetry is useful for capacity and dangerous if it leaks usage patterns across a command boundary.,"Master Checklist v3 (AIA-06.1.01, AIA-05.1.05)",Partially documented,AIA-05.1.05 inference logging policy,-,Is prompt content ever logged? / What is the retention bound?,Separates capacity metrics from content logging and states the tenant labelling rule,,,,,
QAI0185,XCUT,Local model serving and GPU capacity,DEVOPS,DevSecOps / Platform Engineer,L1 Junior,Week 1,Orientation,What is VRAM headroom and why does it appear in the sizing rule rather than raw model size?,Sizing to model size alone produces an appliance that OOMs the moment concurrency rises and kills all AI at once.,Architecture Review Report SS Q.3.1; Master Checklist v3 (AIA-02.1.06),Partially documented,AIA-02.1.06 GPU sizing memo,-,What is the headroom rule? / What happens at 85 percent?,Explains context and batch memory growth and names the headroom rule and alert points,,,,,
QAI0190,XCUT,Local model serving and GPU capacity,DEVOPS,DevSecOps / Platform Engineer,L2 Mid,Month 1,Failure mode,What happens to queued grading work when the serving process restarts?,Losing queued grading during an exam window means results never return and the deadline is missed.,Architecture Review Report Scenario 11; Master Checklist v3 (AIA-03.1.05),Partially documented,AIA-03.2.04 Scenario 11 acceptance,-,Is the queue durable? / Is deferred work resumed automatically?,"States queue durability, the resume path, and the user-visible promise",,,,,
QAI0208,XCUT,Local model serving and GPU capacity,DEVOPS,DevSecOps / Platform Engineer,L2 Mid,Month 1,Mechanism,How are model weights kept out of the container image and still shipped to an enclave?,Baking multi-gigabyte weights into images makes every release bundle unusable over the transfer media available.,"Master Checklist v3 (AIA-05.1.03, AIA-06.1.03)",Partially documented,AIA-06.1.03 enclave install from signed bundle,-,How large is a bundle? / What media is available at the site?,"Names the artefact split, the signing, and the media constraint",,,,,
QAI0194,XCUT,Local model serving and GPU capacity,DEVOPS,DevSecOps / Platform Engineer,L3 Senior,Quarter 1,Failure mode,What is the blast radius when the single GPU node in a small enclave fails?,A one-node appliance makes every AI feature in the site a single point of failure with a hardware replacement time.,Architecture Review Report SS Q.3 spares; Master Checklist v3 (AIA-06.1.02),Partially documented,Enclave bill of materials spares policy,-,Is a spare node in the BOM? / What is the replacement time in an enclave?,"Names the affected features, the degraded product state, and the spares position",,,,,
QAI0213,XCUT,Local model serving and GPU capacity,DEVOPS,DevSecOps / Platform Engineer,L3 Senior,Quarter 1,Emergent,"If licences for a candidate model prohibit enclave redistribution, when do we find out - before or after benchmarking?",Benchmarking a model we cannot ship spends the sizing spike on a candidate that was never viable.,Master Checklist v3 (AIA-02.1.01 requires licence clearance in the candidate list),Partially documented,AIA-02.1.01 candidate model list,QAI0184,Who clears licences? / Is redistribution in the release bundle covered?,"Names the clearance step, its owner, and its position before benchmarking",,,,,
QAI0205,XCUT,Local model serving and GPU capacity,ID,Instructional Designer,L2 Mid,Month 1,Governance/Process,What should an instructor be told to do when the chatbot is queueing during a class?,Instructors improvising around a saturated appliance abandon the tool permanently after two bad sessions.,None - undocumented; Master Checklist v3 (AIA-06.1.05) plans P4 notes,Undocumented — no answer exists,P4 operator and instructor training notes,-,Is there a class-size guidance? / Is queueing visible to the instructor?,"Names the guidance, its source, and the signal the instructor reads",,,,,
QAI0187,XCUT,Local model serving and GPU capacity,PM,Project / Delivery Manager,L1 Junior,Week 1,Orientation,What is the procurement lead-time assumption for the GPU appliance?,"A slipped GPU order is a schedule dependency that is physics, not preference, and it cannot be compressed.",Architecture Review Report R-009; Master Checklist v3 (AIA-02.1.07),Partially documented,Slice D start date,-,What does the deadline gate? / Who acknowledged it?,"States the lead time, the computed deadline, and the acknowledging role",,,,,
QAI0196,XCUT,Local model serving and GPU capacity,PM,Project / Delivery Manager,L3 Senior,Quarter 1,Cost,What is the three-year total cost of ownership of one enclave appliance including power and refresh?,The enclave tier cannot be priced or approved without this and the numbers today are placeholders.,"Architecture Review Report SS Q.3.2 (all numbers provisional), MISS-025",Undocumented — no answer exists,Enclave bill of materials budget,-,What is the site power tariff? / What refresh interval is assumed?,"Gives capex, power, maintenance and refresh lines with stated sources",,,,,
QAI0203,XCUT,Local model serving and GPU capacity,PM,Project / Delivery Manager,L4 Architect,Quarter 1,Governance/Process,"If the appliance is unsized, which committed deliverables are actually unschedulable rather than merely at risk?",Treating a hard-stop condition as a risk means the plan keeps dates that cannot be met.,"Architecture Review Report A-047 hard-stop, MISS-003",Partially documented,AIA-02.1.06 GPU sizing memo,-,Which items are hardware-bound? / What is the earliest honest date?,Distinguishes unschedulable from at-risk items and gives the gating artefact,,,,,
QAI0212,XCUT,Local model serving and GPU capacity,PM,Project / Delivery Manager,L4 Architect,Quarter 1,Emergent,"If no model passes the gates, what is the contractual notification obligation to a customer who has already signed?",A quality shortfall discovered internally and not disclosed becomes a much larger problem when the customer finds it.,None - undocumented; Commercial and Legal owner (E10),Undocumented — no answer exists,Customer acceptance of the hosted-versus-local delta,QAI0201,When does the obligation trigger? / Who delivers the message?,"Names the trigger, the obligation and the accountable person",,,,,
QAI0199,XCUT,Local model serving and GPU capacity,PRODM,Product Manager,L3 Senior,Quarter 1,Cost,What concurrency limit can we state contractually per enclave size?,Selling unlimited class-wide chatbot use on an unsized appliance guarantees a failed acceptance on exam day.,Architecture Review Report Scenario 11 required design change (d); Master Checklist v3 (AIA-02.1.06),Undocumented — no answer exists,AIA-02.1.06 GPU sizing memo,-,Is the cap published? / What happens above it?,"States the per-size concurrency cap, its measured basis, and the behaviour beyond it",,,,,
QAI0211,XCUT,Local model serving and GPU capacity,PRODM,Product Manager,L4 Architect,Quarter 1,Emergent,"If TCO shows the enclave tier is unprofitable at current pricing, which features get cut before contract signature?",Discovering unit economics after signature turns a pricing error into a delivery obligation.,None - undocumented; Commercial owner (E10),Undocumented — no answer exists,Enclave pricing and feature tiers,QAI0196,Which features carry the GPU cost? / Is a no-AI enclave tier sellable?,Ranks the AI features by GPU cost and names the tier that survives,,,,,
QAI0192,XCUT,Local model serving and GPU capacity,QA,QA / Test Engineer,L2 Mid,Month 1,Performance/Scale,How do you generate a realistic exam-day mixed workload for the appliance in a test?,A single-stream benchmark passes while the real mixed workload starves one priority class.,"Master Checklist v3 (AIA-03.2.04, TST-39.2.05)",Partially documented,TST-39.2.05 saturation soak,-,What concurrency multiple? / How long is the soak?,"Names the three concurrent workloads, the multiple of rated concurrency, and the duration",,,,,
QAI0206,XCUT,Local model serving and GPU capacity,QA,QA / Test Engineer,L3 Senior,Quarter 1,Failure mode,How is it proven that degraded modes disengage cleanly when load falls?,A system that stays in a degraded mode after recovery silently ships lower-quality answers indefinitely.,Master Checklist v3 (AIA-03.1.05),Partially documented,AIA-03.1.05 degraded modes implementation,-,Is disengagement alarmed? / Is the mode recorded per request?,"Names the controlled load test, the disengagement assertion, and the per-request record",,,,,
QAI0197,XCUT,Local model serving and GPU capacity,SDET,Test Architect / SDET,L3 Senior,Quarter 1,Performance/Scale,"What does the admission-control test prove, and what does it not prove about real learner behaviour?",Synthetic load that never re-asks understates the feedback loop that actually collapses the appliance.,"Master Checklist v3 (AIA-03.1.03, AIA-03.2.04)",Partially documented,AIA-03.2.04 Scenario 11 acceptance,-,Is retry amplification modelled? / What client behaviour is assumed?,Separates policy enforcement from the client-behaviour amplification it does not model,,,,,
QAI0195,XCUT,Local model serving and GPU capacity,SEC,Security Engineer,L3 Senior,Quarter 1,Security,What are the security consequences of one shared model context serving several tenants on one appliance?,Shared serving means a context-bleed defect in the server is a cross-tenant disclosure across every product at once.,Master Checklist v3 (AIA-05.1.02); Architecture Review Report SS I.1-5,Partially documented,AIA-05.1.02 prompt-context isolation negative test,-,Is batching across tenants allowed? / How is context bleed tested?,"Names the batching policy, the isolation assertion, and the probe that verifies it",,,,,
QAI0202,XCUT,Local model serving and GPU capacity,SEC,Security Engineer,L4 Architect,Quarter 1,Trade-off,Why is a shared inference platform better than per-module serving from an accreditation point of view?,"Every model entering an accredited enclave needs its own approval, and per-module serving multiplies that surface.","Architecture Review Report SS E MOD-009, DEC-002",Documented,DEC-002 local AI serving architecture,-,How many models can one enclave sustain? / What is the approval cost each?,"Argues from approval surface, version skew and rollback to the shared platform",,,,,
QAI0210,XCUT,Local model serving and GPU capacity,SUP,Support & Service Engineer,L2 Mid,Quarter 1,Emergent,"When the appliance is saturated and an instructor calls, what is support permitted to promise?",Promising a fix for designed degradation sets an expectation the product will never meet.,None - undocumented; Support and Service Management Lead,Undocumented — no answer exists,AIA-06.1.02 operator runbook,QAI0193,Is there a published concurrency cap to cite? / Can capacity be added at the site?,"Names the honest explanation and the escalation that leads to capacity, not a fix",,,,,
QAI0198,XCUT,Local model serving and GPU capacity,SUP,Support & Service Engineer,L3 Senior,Quarter 1,Governance/Process,What is a site operator allowed to change on the appliance without breaking the release evidence?,An operator who swaps a model to fix a slow response invalidates every evaluation result the release rests on.,"Master Checklist v3 (AIA-03.2.01, AIA-06.1.02)",Partially documented,AIA-06.1.02 operator runbook,-,Is model change locked? / What can be tuned safely?,Lists the permitted operator actions and the locked change-controlled ones,,,,,
QCT0239,XCUT,Localisation & Language Tier Matrix,AI,AI/ML Engineer,L2 Mid,Month 1,Mechanism,How is retrieval quality measured when the query is in Hindi and the corpus is in English?,"Cross-lingual retrieval can return correct-looking citations for an answer that is wrong, defeating the citation safeguard.",Architecture Review §V.2 (V-F2); Master Checklist v3 PRG-07.2.04,Undocumented — no answer exists,PRG-07.2.04 cross-lingual retrieval benchmark,QCT0232,What is the benchmark set? / What thresholds apply? / Who built it?,"Names the benchmark, the metrics and the acceptance thresholds",,,,,
QCT0245,XCUT,Localisation & Language Tier Matrix,AI,AI/ML Engineer,L3 Senior,Quarter 1,Failure mode,How would you detect that a local model is systematically worse in Hindi than in English on this corpus?,"The binding quality cell is local model times Indic language, and the programme currently has no measurements in it.",Architecture Review §V.2 (V-F1); Master Checklist v3 PRG-93.3.01,Undocumented — no answer exists,PRG-93.3.01 per-language AI evaluation set,QCT0232,Who builds the evaluation set? / Who are the bilingual raters? / What is the acceptable delta?,Describes a per-language evaluation design with human raters and a stated delta,,,,,
QCT0296,XCUT,Localisation & Language Tier Matrix,AI,AI/ML Engineer,L3 Senior,Quarter 1,Emergent,"If a per-language evaluation set is built from client manuals, can it be shared between tenants?","Evaluation sets built from one customer's content cannot legally seed another's gate, yet reusing them is the obvious engineering shortcut.",Master Checklist v3 PRG-93.3.01; CNT-90.1.04,Undocumented — no answer exists,PRG-93.3.01 per-language AI evaluation set,QCT0263,Who owns the evaluation set? / Can a synthetic set substitute? / Who approves reuse?,States the reuse position and the substitute that keeps the gate meaningful,,,,,
QCT0253,XCUT,Localisation & Language Tier Matrix,AI,AI/ML Engineer,L4 Architect,Quarter 1,Trade-off,What do we do if the approved local model cannot meet the Hindi quality bar on target hardware?,"The flagship AI feature is committed to the deployment class where the model is weakest, and no fallback is designed.",Architecture Review §V.2 (V-F1); §D2 M26 risk P0,Undocumented — no answer exists,PRG-93.3.02 per-language release gate,QCT0232,Is a larger model affordable? / Is English-only in-enclave acceptable? / Who tells the customer?,Lays out the options with their cost and states which commitment must change,,,,,
QCT0240,XCUT,Localisation & Language Tier Matrix,AIG,AI Generalist,L2 Mid,Month 1,Standards,What does it take for an AI feature to be declared available in a language beyond the model accepting that language?,"Accepting Hindi input is not the same as being reliable in Hindi, and this is the exact claim a buyer will test.","Architecture Review §V.2 (V-F1); Master Checklist v3 PRG-93.3.01, PRG-93.3.02",Partially documented,PRG-93.3.02 per-language AI quality thresholds,QCT0232,Which metrics per language? / On which model? / Who ratifies the threshold?,Lists the per-language gate metrics and the model configuration they are measured on,,,,,
QCT0260,XCUT,Localisation & Language Tier Matrix,AIG,AI Generalist,L3 Senior,Quarter 1,Emergent,"If the chatbot answers a Hindi question from an English source, what language should the citation be shown in?","A citation the learner cannot read cannot be checked, and citation checkability is the safety mechanism.",Architecture Review §V.2 (V-F2),Undocumented — no answer exists,PRG-07.2.04 cross-lingual retrieval benchmark,QCT0237,Is the source excerpt translated? / Is a machine translation labelled? / Does that change groundedness?,States the citation presentation rule and its effect on verifiability,,,,,
QCT0237,XCUT,Localisation & Language Tier Matrix,BE,Back-End Developer,L2 Mid,Month 1,Mechanism,What happens to a Hindi lesson when the English source it was translated from is revised?,"If nothing flips the variant stale, Hindi-medium learners keep training on a superseded procedure while English learners are protected.","Architecture Review §F Scenario 16; Master Checklist v3 PRG-07.3.03, CNT-18.1.08",Partially documented,CNT-18.1.08 Scenario-16 bilingual drill,QCT0232,Is the flag automatic? / Is the learner warned in Hindi? / Are linked quiz items withheld?,"Describes the cascade, the learner-visible effect and the assessment gating",,,,,
QCT0255,XCUT,Localisation & Language Tier Matrix,BE,Back-End Developer,L4 Architect,Quarter 1,Trade-off,Should assessment be blocked entirely in a language whose items have not been re-validated?,Blocking stalls a language launch; allowing it means official records rest on items of unknown difficulty.,"Architecture Review §V.3 (c), §V.5; Master Checklist v3 PRG-07.3.02",Undocumented — no answer exists,PRG-07.3.02 translated-item re-validation gate,QCT0232,Is practice use permitted? / Is the distinction enforced technically? / Who decides per item?,Distinguishes practice from official use and names the enforcement point,,,,,
QCT0251,XCUT,Localisation & Language Tier Matrix,BI,BI / Analytics Developer (Metabase),L3 Senior,Quarter 1,Data,How does a dashboard show that a figure aggregates learners assessed in different languages?,Rolling up scores across languages without validated equivalence produces a comparison that does not hold.,Architecture Review §V.5; §P.3 cross-language comparability,Undocumented — no answer exists,PRG-07.3.02 translated-item re-validation,QCT0232,Is language a dimension in the mart? / Is it shown by default? / Who defines comparability?,States the disclosure and the comparability rule behind the aggregate,,,,,
QCT0235,XCUT,Localisation & Language Tier Matrix,DE,Data Engineer,L1 Junior,Week 1,Data,Which events and records carry a language field today?,"If language is absent from events, the exposed cohort for a stale translation cannot be identified afterwards.",Architecture Review §V.3 (e); Master Checklist v3 PRG-07.3.03,Undocumented — no answer exists,PRG-07.3.03 translation-currency staleness flags,QCT0232,Is language on reading events? / On assessment results? / On official records?,Lists the record types carrying language and those that do not,,,,,
QCT0242,XCUT,Localisation & Language Tier Matrix,DE,Data Engineer,L2 Mid,Month 1,Data,How does Unicode-correct sorting and truncation change search behaviour for Indic scripts?,Naive truncation of Devanagari breaks grapheme clusters and produces corrupted labels in every list and report.,Master Checklist v3 PRG-07.1.02; Architecture Review §V.4 decision V-D2,Partially documented,"PRG-07.1.02 Unicode-correct sort, search and truncate",QCT0232,Which collation is used? / Is truncation grapheme-aware? / Is it tested?,Names the collation and the grapheme-aware handling with its test,,,,,
QCT0249,XCUT,Localisation & Language Tier Matrix,DE,Data Engineer,L3 Senior,Quarter 1,Performance/Scale,How is the translation-update latency per language measured and reported?,An unmeasured translation SLA means the gap between an English update and its Hindi equivalent is discovered by a learner.,Master Checklist v3 PRG-07.3.05 (translation-update latency SLA),Partially documented,PRG-07.3.05 translation-update latency SLA,QCT0237,What is the current figure? / Is it per content class? / Who owns the metric?,"Names the measurement, its owner and the current value",,,,,
QCT0258,XCUT,Localisation & Language Tier Matrix,DE,Data Engineer,L3 Senior,Quarter 1,Emergent,"If a Hindi variant is still live after its English source was withdrawn, which records issued in that window are affected?","This is the hardest question in the stale-translation scenario and today it is unanswerable, which means blanket re-assessment.",Architecture Review §F Scenario 16 (recovery currently impossible),Undocumented — no answer exists,CNT-19.1.01 consumption audit trail,QCT0237,Do assessment events carry variant language? / And source revision? / How long are they kept?,Names the event fields needed and the query that identifies the affected records,,,,,
QCT0233,XCUT,Localisation & Language Tier Matrix,FE,Front-End Developer,L1 Junior,Day 1,Orientation,"What does string externalisation mean, and why is it mandated before more interface code is written?","Retrofitting i18n after the interfaces exist costs a multiple of designing it in, on every UI-bearing module.","Master Checklist v3 PRG-07.1.02, PRG-07.1.03; Architecture Review §V.4 decision V-D2",Partially documented,PRG-07.1.02 i18n baseline,-,Which message format is standard? / Is there a pseudo-localisation build? / Who audits for hardcoded strings?,"Names the practice, the message format and the CI check that enforces it",,,,,
QTU0008,XCUT,Localisation & Language Tier Matrix,FE,Front-End Developer,L3 Senior,Month 1,Failure mode,How would you detect that Devanagari conjuncts render incorrectly in the quiz interface on a particular Android WebView build before a campus reports it?,"A broken conjunct changes the meaning of an answer option, and a learner can be marked wrong for choosing exactly what was displayed to them.",Localization Programme (E06); Architecture Review Report §V,Undocumented — no answer exists,PRG-05.x localisation acceptance,-,Which device and WebView matrix do we actually render against? / Is there a golden-image comparison per script? / Who owns the font stack decision?,"Names a rendering regression method and the device matrix it runs on, not just a manual spot check",,,,,
QTU0009,XCUT,Localisation & Language Tier Matrix,FE,Front-End Developer,L3 Senior,Month 1,Failure mode,"What front-end evidence proves the quiz and dashboard layouts survive Hindi and Tamil text expansion, and what does that evidence still not cover?","Truncated or overlapping Indic labels hide the very control a learner needs, and no English-only screenshot suite will ever show it.",Localization Programme (E06); Front-End Lead,Undocumented — no answer exists,PRG-05.x localisation acceptance,-,Do we test with pseudo-localised strings or real translations? / What happens to fixed-height components? / Which components have no expansion budget at all?,"Names the expansion test, the components it covers, and the layout classes it cannot assert on",,,,,
QCT0256,XCUT,Localisation & Language Tier Matrix,FE,Front-End Developer,L4 Architect,Quarter 1,Trade-off,What would have to be true for us to add a new language without re-opening pedagogy review of the whole catalogue?,"Adding a language after content exists re-opens review for everything affected, which is the hidden cost of a late language decision.",Architecture Review §V.4 schedule impact; Master Checklist v3 CNT-22.1.05,Undocumented — no answer exists,CNT-22.1.05 per-language review capability,QCT0232,Can review be incremental? / What content classes need full review? / Who decides depth?,Names the conditions that make incremental review defensible,,,,,
QTU0023,XCUT,Localisation & Language Tier Matrix,FE,Front-End Developer,L4 Architect,Quarter 1,Cost,"Should Indic fonts be bundled into the web client payloads or served from the platform, and what does each choice cost on a constrained campus link?",Bundling adds megabytes to every first load on a slow link; serving centrally means a font fetch failure silently degrades a whole language into unreadable boxes.,Localization Programme (E06); Front-End Lead,Undocumented — no answer exists,PRG-05.x localisation delivery,-,What is the payload cost per script? / What is the fallback when the font fetch fails? / Does an enclave site have a font source at all?,Quantifies the payload trade and names the failure behaviour of the option chosen,,,,,
QCT0234,XCUT,Localisation & Language Tier Matrix,ID,Instructional Designer,L1 Junior,Week 1,Orientation,"What is a linked derivative translation, and how does it differ from a separately uploaded Hindi document?","Independent documents cannot be flagged stale when their source changes, which is the mechanism behind the whole stale-translation scenario.",Architecture Review §F Scenario 16; Master Checklist v3 CNT-01.1.04,Partially documented,CNT-01.1.04 multilingual variant-linkage decision,QCT0232,What fields does the link carry? / Can a link be broken? / Who checks for orphans?,"Defines the link, its fields and the consequence of its absence",,,,,
QCT0238,XCUT,Localisation & Language Tier Matrix,ID,Instructional Designer,L2 Mid,Month 1,Ethics/Validity,What must happen to a translated assessment item before it may feed an official record?,"Translation changes item difficulty, so an unrevalidated translated item makes the competency claim it supports unsafe.","Master Checklist v3 PRG-07.3.02, AIA-14.1.04; Architecture Review §V.5",Partially documented,PRG-07.3.02 translated-item re-validation,QCT0232,Who does the psychometric re-validation? / What sample size? / How long does it take?,"Names the re-validation step, its owner and the gate that enforces it",,,,,
QCT0246,XCUT,Localisation & Language Tier Matrix,ID,Instructional Designer,L3 Senior,Quarter 1,Ethics/Validity,How would you detect that semantic grading penalises answers written in mixed Hindi and English?,Systematically penalising vernacular register is both a fairness failure and a legal-defensibility problem for official records.,Architecture Review §V.2 (V-F3); Master Checklist v3 PRG-93.3.01,Undocumented — no answer exists,PRG-93.3.02 per-language quality thresholds,QCT0232,What is the fairness metric? / What answer corpus is used? / Who reviews disparities?,Names a measurable fairness comparison and the corpus it runs on,,,,,
QCT0254,XCUT,Localisation & Language Tier Matrix,ID,Instructional Designer,L4 Architect,Quarter 1,Trade-off,"Should a translation ever be allowed to diverge from its master, and who may authorise that?","Legitimate local adaptation is real, but an unmanaged divergence breaks the lineage that makes staleness detectable.",Architecture Review §V.3 required design rules; Master Checklist v3 CNT-01.1.04,Undocumented — no answer exists,CNT-01.1.04 variant-linkage decision,QCT0237,Can a variant be promoted to its own master? / How is the divergence recorded? / Who reviews it?,"Defines the permitted divergence, its record and its authoriser",,,,,
QCT0241,XCUT,Localisation & Language Tier Matrix,MXR,Mobile & XR Developer,L2 Mid,Month 1,Mechanism,How is complex-script shaping verified in a headset or game-engine interface?,Indic text in XR runtimes is a known silent-corruption point and it will not be caught by a web test.,Master Checklist v3 PRG-07.2.02; Architecture Review §V.4 decision V-D3,Partially documented,PRG-07.2.02 Indic in-headset rendering tests,QCT0232,On which devices? / Which fonts? / Who signs off the rendering?,"Names the devices, the font pipeline and the verification evidence",,,,,
QCT0299,XCUT,Localisation & Language Tier Matrix,MXR,Mobile & XR Developer,L3 Senior,Quarter 1,Emergent,"If the microlearning app ships an Indic font in its bundle, what happens when the platform updates its own font stack?",Divergence between bundled and system fonts produces rendering that passes in test and breaks after an OS update.,"Master Checklist v3 FLD-12.2.05, PRG-93.2.03",Undocumented — no answer exists,FLD-12.2.05 Indic-script rendering verification,QCT0232,Is the bundled font authoritative? / Is rendering re-tested per OS release? / Who owns the font licence?,States the font precedence rule and the re-test trigger,,,,,
QCT0250,XCUT,Localisation & Language Tier Matrix,PM,Project / Delivery Manager,L3 Senior,Quarter 1,Cost,What is the recurring per-language cost once a language is committed?,"Localisation is a standing operating cost, not a one-time fee, and pricing it as a fee guarantees an underfunded programme.",Architecture Review §V.4 impact statement; Master Checklist v3 PRG-07.1.01,Partially documented,PRG-07.1.01 language matrix decision and costing,QCT0232,What are the cost components? / Which scale with content volume? / Who approves the line?,Breaks the recurring cost into named components with their scaling drivers,,,,,
QCT0259,XCUT,Localisation & Language Tier Matrix,PM,Project / Delivery Manager,L3 Senior,Quarter 1,Emergent,"If per-language evaluation is a release gate, what happens to the release when one language fails?",Blocking the whole release for one language stalls everyone; shipping anyway makes the gate meaningless.,Master Checklist v3 PRG-93.3.02,Undocumented — no answer exists,PRG-93.3.02 per-language release gate,QCT0232,Can a language be disabled at runtime? / Is that visible to learners? / Who decides?,Proposes per-language feature disablement with its learner-facing consequence,,,,,
QCT0232,XCUT,Localisation & Language Tier Matrix,PRODM,Product Manager,L1 Junior,Day 1,Orientation,"What is the language tier matrix, and which tier does a language have to reach before we may call it supported?","Without tiers, a language with a translated interface and untested AI is announced as supported and fails in the field.","Master Checklist v3 PRG-93.1.01, PRG-93.1.03; Architecture Review §V.1",Partially documented,PRG-93.1.01 language tier matrix decision,-,What are the five tiers? / Who signs the matrix? / Is it per tenant?,"Names the tiers, the per-tier definition of done and the signing authority",,,,,
QCT0252,XCUT,Localisation & Language Tier Matrix,PRODM,Product Manager,L4 Architect,Month 1,Trade-off,"Which languages should be committed at which tier for the first Indian deployment, and what is the cost of each?","Silence on language is being read as English-only by omission, which is a strategic gap for a product positioned for India.",Architecture Review §V.4 decision V-D1; Master Checklist v3 PRG-07.1.01,Undocumented — no answer exists,PRG-07.1.01 language matrix decision,QCT0232,What does the buyer actually require? / What can we prove today? / What is the phase-two commitment?,Proposes a tiered commitment per language with its cost and its evidence position,,,,,
QCT0243,XCUT,Localisation & Language Tier Matrix,QA,QA / Test Engineer,L2 Mid,Month 1,Mechanism,What does a per-language end-to-end test cover that an English test does not?,"Language-specific failures cluster in rendering, input methods and assessment content, none of which an English pass exercises.",Master Checklist v3 PRG-07.3.07 (per-language end-to-end tests),Partially documented,PRG-07.3.07 per-language end-to-end tests,QCT0232,Which journeys are in scope? / Who writes the expected results? / Who runs them?,Names the journeys and the language-specific assertions in each,,,,,
QCT0261,XCUT,Localisation & Language Tier Matrix,QA,QA / Test Engineer,L3 Senior,Quarter 1,Emergent,"When a string is externalised but never translated, what does the learner actually see?",Silent English fallback makes a partially translated product look complete in testing and broken in the field.,"Master Checklist v3 PRG-07.1.02, PRG-07.1.03",Undocumented — no answer exists,PRG-93.1.03 per-tier definition of done,QCT0232,Is the fallback labelled? / Is translation coverage measured? / What coverage is required to launch?,"Names the fallback behaviour, the coverage metric and the launch threshold",,,,,
QCT0244,XCUT,Localisation & Language Tier Matrix,SDET,Test Architect / SDET,L3 Senior,Quarter 1,Failure mode,"What does the bilingual supersession drill assert, and what does it not prove about other languages?","Passing on one language pair is routinely treated as proof for all, and each additional language multiplies the risk.","Master Checklist v3 TST-38.2.02, PRG-07.3.04",Partially documented,PRG-07.3.04 Scenario 16 drill as localisation acceptance test,QCT0237,Is the drill run per language? / Is it in CI? / What is the pass criterion?,"States the covered pair, the assertions made and the extrapolation risk",,,,,
QCT0247,XCUT,Localisation & Language Tier Matrix,SEC,Security Engineer,L3 Senior,Quarter 1,Security,Are prompt-injection defences tuned on English patterns effective against Devanagari-script payloads?,Injection filters that only match English patterns leave the non-English input path undefended.,Architecture Review §V.2 (prompt injection in non-English text),Undocumented — no answer exists,PRG-93.3.01 per-language evaluation coverage,QCT0232,Is there a multilingual red-team set? / Who maintains it? / Is it run per model?,Describes a multilingual adversarial test set and its cadence,,,,,
QCT0236,XCUT,Localisation & Language Tier Matrix,SUP,Support & Service Engineer,L1 Junior,Week 1,Orientation,In which languages are runbooks and helpdesk support actually available?,Support language is a committed tier in the matrix and is usually the first tier quietly dropped.,Master Checklist v3 PRG-93.1.01 (support tier); Architecture Review §V.1,Undocumented — no answer exists,PRG-93.1.01 language tier matrix,QCT0232,Who staffs vernacular support? / What is the escalation language? / Are runbooks translated?,"Names the supported languages, the staffing source and the fallback",,,,,
QCT0248,XCUT,Localisation & Language Tier Matrix,SUP,Support & Service Engineer,L3 Senior,Quarter 1,Failure mode,How does a support engineer diagnose a rendering complaint reported in a language they do not read?,"Without a defined route, vernacular defect reports are closed as unreproducible and the learners stop reporting.",Master Checklist v3 PRG-93.1.01 (support tier),Undocumented — no answer exists,PRG-07.3.07 per-language end-to-end tests,QCT0232,Is there a bilingual escalation? / Are screenshots enough? / What is the SLA?,Names the escalation route and the artefacts required to reproduce,,,,,
QCT0257,XCUT,Localisation & Language Tier Matrix,SUP,Support & Service Engineer,L3 Senior,Quarter 1,Emergent,"If a currency warning must render in the learner's language, who writes that string for each committed language?","A safety warning shown in English to a Hindi-medium learner is not a warning, and no owner exists for the wording.",Architecture Review §V.3 (b); Master Checklist v3 PRG-07.3.03,Undocumented — no answer exists,CNT-18.1.05 learner-visible transition state,QCT0237,Who approves safety wording? / Is it reviewed by an SME in that language? / How is it versioned?,"Names the author, the reviewer and the version control on safety strings",,,,,
QWP0085,XCUT,MOSA Conformance,AI,AI/ML Engineer,L3 Senior,Month 1,Failure mode,Why does replacing the local language model today change behaviour in every enclave rather than being a configuration change?,"Without a serving contract and a fixed evaluation set, a model swap is an uncontrolled behaviour change on learner-affecting decisions.",Architecture Review Report §O.2.3 (swap walkthrough B),Documented,PRG-06.2.03 local-model swap rehearsal,-,Is there an inference service contract? / What breaks when the embedding model changes? / What proves the replacement is good enough?,"names the missing abstraction, the frozen eval set and the re-index consequence",,,,,
